John Henry	Yellow	Travis Etienne	$4 	Yes	$4	8/13/22	2022 franchise player
John Henry	Forest	Marquise Brown	$10 	Yes	$10	8/15/2020	Final year of MYD
John Henry	Blue	DK Metcalf	$28 	Yes	$28	8/29/20	Signed for $31 for '23
John Henry	Forest	Austin Ekeler	$10 	Yes	$10	11/23/22	Received in trade (Thomas); Final year of MYD
John Henry	N/A	Jameis Winston	$37 	Yes	$37	9/3/22	
John Henry	N/A	Leonard Fournette	$10 	Yes	$10 	11/23/22	Received in trade (Thomas)
John Henry	N/A	Rhamondre Stevenson	$18	Yes	$18	8/20/22	Acquired in free agency
John Henry	N/A	James Robinson	$10 	Yes	$10	8/20/22	Retained as keeper
John Henry	N/A	Matthew Stafford	$28 	Yes	$28	8/20/22	Retained as keeper
John Henry	N/A	Alexander Mattison	$7 	Yes	$7	8/20/22	Retained as keeper
John Henry	N/A	A.J. Brown	$40 	Yes	$40	8/27/22	Retained as keeper
John Henry	N/A	Dallas Goedert	$15 	Yes	$15	8/20/22	Retained as keeper
John Henry	N/A	Chris Godwin	$37 	Yes	$37 	9/3/22	
John Henry	N/A	Joshua Palmer	$6 	Yes	$6 	9/3/22	
John Henry	N/A	Jerick McKinnon	$1 	Yes	$1 	9/3/22	
John Henry	N/A	Machaad White	$3 	Yes	$3 	9/3/22	
John Henry	N/A	Isaiah Likely	$2 	No	$2 	11/23/22	Waived
John Henry	N/A	Joe Flacco	$1 	Yes	$1 	9/3/22	
John Henry	N/A	Tyler Huntley	$1 	Yes	$1 	9/24/22	
John Henry	N/A	Andy Dalton	$1 	Yes	$1 	10/1/22	
John Henry	N/A	Teddy Bridgewater	$2 	No	$2 	10/22/22	Waived
John Henry	N/A	Greg Dulcich	$1 	Yes	$1 	10/19/22	
John Henry	N/A	Kenyan Drake	$3 	No	$3 	11/30/22	Waived
John Henry	N/A	Kirk Cousins	$24 	Yes	$24	11/23/22	Received in trade (Thomas)
John Henry	N/A	Jordan Love	$1 	Yes	$1 	11/30/22	
Josh Knight	N/A	Amari Cooper	$9 	Yes	$9	9/17/22	Received in trade (Thomas)
Josh Knight	Orange	Jalen Hurts	$20 	Yes	$20	8/13/22	Signed for $23 in '23; $26 in '24
Josh Knight	N/A	Keenan Allen	$25 	Yes	$25	10/15/22	Received in trade (Phelps)
Josh Knight	N/A	Antonio Gibson	$17 	Yes	$17 	9/17/22	Received in trade (Thomas)
Josh Knight	N/A	Dawson Knox	$6 	Yes	$6	8/20/22	Retained as keeper
Josh Knight	N/A	Alvin Kamara	$38 	Yes	$25	10/15/22	Received in trade (Phelps)
Josh Knight	N/A	Saquon Barkley	$50 	Yes	$34	10/15/22	Received in trade (Phelps)
Josh Knight	N/A	Najee Harris	$66 	Yes	$66	8/20/22	Acquired in free agency
Josh Knight	N/A	Jakobi Meyers	$4 	Yes	$4	8/20/22	Retained as keeper
Josh Knight	N/A	James Conner	$30 	Yes	$30 	8/27/22	Retained as keeper
Josh Knight	N/A	Tyler Boyd	$8 	Yes	$8 	9/3/22	
Josh Knight	N/A	Michael Gallup	$11 	No	$10 	10/19/22	Traded to Womble
Josh Knight	N/A	Jahan Dotson	$8 	Yes	$8 	9/3/22	
